class_id,img_height,img_width,bbox_y,bbox_x,bbox_h,bbox_w,norm_img_height,norm_img_width,norm_bbox_y,norm_bbox_x,norm_bbox_w,norm_bbox_h
67,1084,538,440,279,161,284,1,1,0.405904059,0.5185873606,0.5278810409,0.1485239852
57,646,893,108,403,292,229,1,1,0.1671826625,0.451287794,0.2564389698,0.4520123839
4,636,762,56,415,296,182,1,1,0.08805031447,0.5446194226,0.2388451444,0.465408805
75,626,1026,273,449,310,139,1,1,0.4361022364,0.4376218324,0.1354775828,0.4952076677
11,937,1051,470,419,392,279,1,1,0.5016008538,0.3986679353,0.2654614653,0.4183564568
34,707,366,433,115,126,152,1,1,0.612446959,0.3142076503,0.4153005464,0.1782178218
28,570,578,174,203,302,165,1,1,0.3052631579,0.3512110727,0.285467128,0.5298245614
31,882,427,437,127,71,161,1,1,0.4954648526,0.2974238876,0.3770491803,0.08049886621
2,474,472,146,32,381,123,1,1,0.3080168776,0.06779661017,0.2605932203,0.8037974684
3,816,860,111,180,361,369,1,1,0.1360294118,0.2093023256,0.4290697674,0.4424019608
70,815,743,200,323,108,252,1,1,0.245398773,0.4347240915,0.3391655451,0.1325153374
8,905,728,428,303,339,161,1,1,0.4729281768,0.4162087912,0.2211538462,0.3745856354
64,283,604,32,7,302,78,1,1,0.1130742049,0.01158940397,0.1291390728,1.067137809
17,600,817,30,270,235,383,1,1,0.05,0.3304773562,0.4687882497,0.3916666667
58,449,395,229,77,261,44,1,1,0.5100222717,0.1949367089,0.1113924051,0.5812917595
32,519,773,307,185,227,127,1,1,0.591522158,0.2393272962,0.1642949547,0.4373795761
8,708,668,231,428,115,390,1,1,0.3262711864,0.6407185629,0.5838323353,0.1624293785
13,714,432,83,236,137,277,1,1,0.1162464986,0.5462962963,0.6412037037,0.1918767507
69,680,1094,434,422,300,145,1,1,0.6382352941,0.3857404022,0.1325411335,0.4411764706
34,844,1059,344,330,390,280,1,1,0.4075829384,0.3116147309,0.2644003777,0.4620853081
0,496,768,106,174,366,47,1,1,0.2137096774,0.2265625,0.06119791667,0.7379032258
18,659,574,256,102,197,101,1,1,0.3884673748,0.1777003484,0.1759581882,0.2989377845
60,903,630,491,75,397,62,1,1,0.5437430786,0.119047619,0.09841269841,0.4396456257
49,661,578,277,234,131,329,1,1,0.4190620272,0.4048442907,0.5692041522,0.1981845688
30,761,829,260,397,344,168,1,1,0.3416557162,0.4788902292,0.2026537998,0.4520367937
58,902,749,284,161,344,374,1,1,0.3148558758,0.214953271,0.4993324433,0.3813747228
42,684,967,290,462,386,132,1,1,0.4239766082,0.4777662875,0.1365046536,0.5643274854
16,911,860,413,433,186,218,1,1,0.4533479693,0.5034883721,0.2534883721,0.2041712404
36,1146,806,492,138,359,296,1,1,0.4293193717,0.1712158809,0.3672456576,0.3132635253
6,461,497,10,19,83,278,1,1,0.02169197397,0.03822937626,0.5593561368,0.1800433839
76,833,593,423,194,318,148,1,1,0.5078031212,0.3271500843,0.2495784148,0.3817527011
33,880,1071,268,341,368,247,1,1,0.3045454545,0.3183940243,0.2306255836,0.4181818182
33,753,981,387,486,193,156,1,1,0.5139442231,0.495412844,0.1590214067,0.2563081009
31,754,770,239,340,333,338,1,1,0.3169761273,0.4415584416,0.438961039,0.4416445623
52,595,644,143,481,102,347,1,1,0.2403361345,0.7468944099,0.5388198758,0.1714285714
54,601,837,185,291,220,109,1,1,0.3078202995,0.3476702509,0.1302270012,0.3660565724
68,828,429,219,11,294,230,1,1,0.2644927536,0.02564102564,0.5361305361,0.3550724638
36,660,699,263,272,185,231,1,1,0.3984848485,0.3891273247,0.330472103,0.2803030303
73,691,550,23,23,129,392,1,1,0.03328509407,0.04181818182,0.7127272727,0.1866859624
58,247,855,46,169,375,97,1,1,0.1862348178,0.1976608187,0.1134502924,1.518218623
52,387,845,11,391,144,258,1,1,0.02842377261,0.4627218935,0.3053254438,0.3720930233
75,846,701,426,244,160,216,1,1,0.5035460993,0.3480741797,0.3081312411,0.1891252955
70,781,821,444,183,361,106,1,1,0.5685019206,0.2228989038,0.1291108404,0.4622279129
19,710,470,484,45,184,47,1,1,0.6816901408,0.09574468085,0.1,0.2591549296
48,982,1113,459,494,223,333,1,1,0.467413442,0.4438454627,0.2991913747,0.2270875764
62,1060,843,493,307,220,352,1,1,0.4650943396,0.3641755635,0.4175563464,0.2075471698
60,869,760,434,419,112,242,1,1,0.499424626,0.5513157895,0.3184210526,0.1288837745
46,876,579,210,392,49,348,1,1,0.2397260274,0.677029361,0.6010362694,0.05593607306
6,1087,822,342,413,76,359,1,1,0.3146274149,0.50243309,0.4367396594,0.06991720331
26,673,691,334,182,399,131,1,1,0.4962852897,0.2633863965,0.1895803184,0.5928677563
19,438,728,43,240,325,135,1,1,0.09817351598,0.3296703297,0.1854395604,0.7420091324
20,852,591,388,326,155,260,1,1,0.455399061,0.551607445,0.4399323181,0.1819248826
32,444,937,177,320,259,187,1,1,0.3986486486,0.3415154749,0.1995731057,0.5833333333
39,687,1003,365,487,364,223,1,1,0.5312954876,0.4855433699,0.222333001,0.5298398836
22,340,412,93,165,99,67,1,1,0.2735294118,0.4004854369,0.1626213592,0.2911764706
53,382,946,209,230,366,85,1,1,0.5471204188,0.2431289641,0.08985200846,0.9581151832
35,373,699,95,257,231,143,1,1,0.254691689,0.3676680973,0.2045779685,0.6193029491
11,977,739,419,330,326,289,1,1,0.428863869,0.4465493911,0.3910690122,0.3336745138
64,375,659,85,452,130,144,1,1,0.2266666667,0.6858877086,0.2185128983,0.3466666667
0,784,780,197,244,340,347,1,1,0.2512755102,0.3128205128,0.4448717949,0.4336734694
23,551,778,319,413,286,141,1,1,0.5789473684,0.530848329,0.1812339332,0.5190562613
50,687,558,254,73,110,311,1,1,0.3697234352,0.1308243728,0.5573476703,0.1601164483
22,263,579,17,150,191,95,1,1,0.06463878327,0.2590673575,0.1640759931,0.7262357414
68,492,798,28,346,307,279,1,1,0.05691056911,0.4335839599,0.3496240602,0.6239837398
13,573,643,132,190,277,358,1,1,0.2303664921,0.2954898911,0.5567651633,0.4834205934
30,410,568,111,66,271,134,1,1,0.2707317073,0.1161971831,0.235915493,0.6609756098
9,415,737,70,336,125,154,1,1,0.1686746988,0.4559023066,0.2089552239,0.3012048193
64,394,613,23,129,296,93,1,1,0.05837563452,0.2104404568,0.1517128874,0.7512690355
42,661,949,401,340,344,103,1,1,0.6066565809,0.3582718651,0.1085353003,0.5204236006
78,931,241,317,47,77,397,1,1,0.3404940924,0.1950207469,1.647302905,0.08270676692
62,744,723,342,173,236,104,1,1,0.4596774194,0.2392807746,0.1438450899,0.3172043011
40,474,640,285,399,92,82,1,1,0.6012658228,0.6234375,0.128125,0.194092827
10,416,989,13,229,384,119,1,1,0.03125,0.2315470172,0.1203235592,0.9230769231
72,543,821,172,189,294,311,1,1,0.3167587477,0.2302070646,0.3788063337,0.5414364641
13,1036,770,345,337,222,336,1,1,0.333011583,0.4376623377,0.4363636364,0.2142857143
31,711,755,357,396,125,115,1,1,0.5021097046,0.5245033113,0.1523178808,0.1758087201
45,276,682,42,303,254,156,1,1,0.152173913,0.4442815249,0.2287390029,0.9202898551
63,1034,905,474,426,400,246,1,1,0.4584139265,0.470718232,0.2718232044,0.3868471954
1,743,707,462,122,237,128,1,1,0.6218034993,0.1725601132,0.1810466761,0.3189771198
27,819,701,114,226,236,338,1,1,0.1391941392,0.3223965763,0.482168331,0.2881562882
67,243,308,38,136,50,75,1,1,0.1563786008,0.4415584416,0.2435064935,0.2057613169
56,850,420,291,283,72,368,1,1,0.3423529412,0.6738095238,0.8761904762,0.08470588235
76,998,862,362,459,142,398,1,1,0.3627254509,0.5324825986,0.4617169374,0.1422845691
28,445,290,30,62,41,348,1,1,0.06741573034,0.2137931034,1.2,0.09213483146
61,553,933,63,490,370,263,1,1,0.1139240506,0.525187567,0.281886388,0.6690777577
68,606,963,260,376,286,163,1,1,0.4290429043,0.3904465213,0.1692627207,0.4719471947
39,614,1161,163,429,382,323,1,1,0.2654723127,0.3695090439,0.278208441,0.6221498371
76,747,517,351,233,138,73,1,1,0.4698795181,0.4506769826,0.1411992263,0.1847389558
61,602,416,472,133,197,45,1,1,0.7840531561,0.3197115385,0.1081730769,0.3272425249
67,1170,599,468,68,280,349,1,1,0.4,0.1135225376,0.5826377295,0.2393162393
7,642,758,201,270,359,314,1,1,0.3130841121,0.3562005277,0.4142480211,0.5591900312
69,564,412,144,62,265,210,1,1,0.2553191489,0.1504854369,0.5097087379,0.469858156
54,1078,953,426,283,396,335,1,1,0.3951762523,0.296956978,0.351521511,0.3673469388
40,741,422,153,58,147,278,1,1,0.2064777328,0.1374407583,0.6587677725,0.1983805668
30,584,539,319,266,169,55,1,1,0.5462328767,0.4935064935,0.1020408163,0.2893835616
33,829,661,129,195,320,341,1,1,0.1556091677,0.2950075643,0.5158850227,0.3860072376
68,740,784,300,362,131,67,1,1,0.4054054054,0.4617346939,0.08545918367,0.177027027
74,492,690,333,239,68,108,1,1,0.6768292683,0.3463768116,0.1565217391,0.1382113821
64,1168,850,478,346,373,333,1,1,0.4092465753,0.4070588235,0.3917647059,0.3193493151
12,379,783,154,118,360,84,1,1,0.4063324538,0.1507024266,0.1072796935,0.9498680739
17,862,755,416,395,157,264,1,1,0.4825986079,0.5231788079,0.3496688742,0.1821345708
65,831,799,85,236,214,349,1,1,0.1022864019,0.2953692115,0.436795995,0.257521059
12,948,656,302,154,161,335,1,1,0.3185654008,0.2347560976,0.5106707317,0.1698312236
32,781,900,155,299,294,285,1,1,0.1984635083,0.3322222222,0.3166666667,0.3764404609
29,858,602,463,259,134,144,1,1,0.5396270396,0.4302325581,0.2392026578,0.1561771562
16,852,825,195,396,111,356,1,1,0.2288732394,0.48,0.4315151515,0.1302816901
26,743,565,342,332,83,124,1,1,0.4602960969,0.5876106195,0.2194690265,0.1117092867
50,879,467,424,65,133,203,1,1,0.4823663254,0.1391862955,0.4346895075,0.1513083049
60,472,453,67,164,148,306,1,1,0.1419491525,0.3620309051,0.6754966887,0.313559322
79,816,513,494,333,140,194,1,1,0.6053921569,0.649122807,0.3781676413,0.1715686275
21,884,623,429,186,275,89,1,1,0.4852941176,0.2985553772,0.1428571429,0.3110859729
68,420,835,22,380,337,330,1,1,0.05238095238,0.4550898204,0.3952095808,0.8023809524
63,489,573,137,117,354,215,1,1,0.2801635992,0.2041884817,0.3752181501,0.7239263804
61,576,874,213,300,257,165,1,1,0.3697916667,0.3432494279,0.1887871854,0.4461805556
55,1038,903,468,445,342,189,1,1,0.450867052,0.4928017719,0.2093023256,0.3294797688
22,785,570,184,145,323,347,1,1,0.2343949045,0.2543859649,0.6087719298,0.4114649682
20,705,730,494,371,149,142,1,1,0.7007092199,0.5082191781,0.1945205479,0.2113475177
65,967,544,380,236,167,193,1,1,0.3929679421,0.4338235294,0.3547794118,0.1726990693
7,823,465,356,288,124,302,1,1,0.432563791,0.6193548387,0.6494623656,0.1506682868
9,511,521,91,439,42,76,1,1,0.1780821918,0.8426103647,0.1458733205,0.08219178082
15,734,725,294,249,101,162,1,1,0.4005449591,0.3434482759,0.2234482759,0.1376021798
45,644,732,238,330,328,185,1,1,0.3695652174,0.4508196721,0.2527322404,0.5093167702
11,727,933,494,354,336,187,1,1,0.6795048143,0.3794212219,0.2004287245,0.462173315
79,1044,1066,474,421,315,249,1,1,0.4540229885,0.394934334,0.2335834897,0.3017241379
57,554,292,363,2,68,77,1,1,0.655234657,0.006849315068,0.2636986301,0.1227436823
52,877,679,473,266,223,338,1,1,0.5393386545,0.3917525773,0.4977908689,0.2542759407
41,786,732,467,489,172,223,1,1,0.5941475827,0.6680327869,0.3046448087,0.2188295165
8,322,576,26,133,308,211,1,1,0.08074534161,0.2309027778,0.3663194444,0.9565217391
40,673,634,338,283,297,112,1,1,0.5022288262,0.4463722397,0.1766561514,0.441307578
76,990,622,475,105,147,327,1,1,0.4797979798,0.1688102894,0.5257234727,0.1484848485
75,447,694,30,2,337,366,1,1,0.06711409396,0.00288184438,0.5273775216,0.7539149888
65,654,600,233,61,325,319,1,1,0.3562691131,0.1016666667,0.5316666667,0.496941896
56,905,596,449,118,388,352,1,1,0.4961325967,0.1979865772,0.5906040268,0.4287292818
11,625,877,208,365,261,366,1,1,0.3328,0.4161915621,0.417331813,0.4176
7,710,917,439,340,389,209,1,1,0.6183098592,0.3707742639,0.227917121,0.5478873239
68,640,820,285,89,375,170,1,1,0.4453125,0.1085365854,0.2073170732,0.5859375
39,800,997,302,251,390,303,1,1,0.3775,0.2517552658,0.3039117352,0.4875
14,900,996,248,408,315,277,1,1,0.2755555556,0.4096385542,0.2781124498,0.35
13,987,435,481,62,55,190,1,1,0.4873353597,0.1425287356,0.4367816092,0.05572441743
30,810,567,387,409,46,226,1,1,0.4777777778,0.721340388,0.3985890653,0.05679012346
57,545,839,237,487,57,53,1,1,0.4348623853,0.5804529201,0.063170441,0.104587156
2,843,734,387,176,177,322,1,1,0.4590747331,0.2397820163,0.4386920981,0.2099644128
25,648,427,278,232,43,264,1,1,0.4290123457,0.5433255269,0.6182669789,0.06635802469
40,1062,1206,393,476,344,306,1,1,0.3700564972,0.3946932007,0.2537313433,0.3239171375
25,523,696,165,252,220,235,1,1,0.3154875717,0.3620689655,0.3376436782,0.4206500956
4,407,645,287,113,334,79,1,1,0.7051597052,0.1751937984,0.1224806202,0.8206388206
59,280,982,20,329,259,207,1,1,0.07142857143,0.3350305499,0.2107942974,0.925
74,877,958,328,333,291,206,1,1,0.3740022805,0.3475991649,0.2150313152,0.3318129989
52,607,740,257,368,214,61,1,1,0.4233937397,0.4972972973,0.08243243243,0.352553542
26,961,716,466,311,266,312,1,1,0.4849115505,0.4343575419,0.4357541899,0.2767950052
53,791,910,249,490,182,362,1,1,0.3147914033,0.5384615385,0.3978021978,0.2300884956
55,397,862,41,422,268,128,1,1,0.1032745592,0.4895591647,0.1484918794,0.6750629723
16,321,297,5,95,141,163,1,1,0.01557632399,0.3198653199,0.5488215488,0.4392523364
36,612,465,54,32,129,298,1,1,0.08823529412,0.0688172043,0.6408602151,0.2107843137
71,904,295,241,15,216,312,1,1,0.2665929204,0.05084745763,1.057627119,0.2389380531
50,827,463,399,16,187,273,1,1,0.4824667473,0.03455723542,0.5896328294,0.2261185006
50,925,713,390,406,212,172,1,1,0.4216216216,0.5694249649,0.2412342216,0.2291891892
79,209,925,88,236,385,75,1,1,0.4210526316,0.2551351351,0.08108108108,1.842105263
32,601,655,249,234,348,107,1,1,0.4143094842,0.3572519084,0.1633587786,0.5790349418
61,608,1074,115,493,284,111,1,1,0.1891447368,0.4590316574,0.1033519553,0.4671052632
30,830,1158,320,461,332,131,1,1,0.3855421687,0.3981001727,0.1131260794,0.4
59,947,436,279,100,295,270,1,1,0.2946145723,0.2293577982,0.619266055,0.3115100317
50,628,857,50,481,248,291,1,1,0.07961783439,0.56126021,0.3395565928,0.3949044586
29,334,800,35,448,235,209,1,1,0.1047904192,0.56,0.26125,0.7035928144
67,267,907,52,225,297,58,1,1,0.1947565543,0.2480705623,0.06394707828,1.112359551
60,400,732,69,314,44,166,1,1,0.1725,0.4289617486,0.2267759563,0.11
17,820,805,298,165,290,386,1,1,0.3634146341,0.2049689441,0.4795031056,0.3536585366
28,804,588,405,42,263,246,1,1,0.5037313433,0.07142857143,0.4183673469,0.3271144279
19,804,709,451,234,342,169,1,1,0.5609452736,0.3300423131,0.2383638928,0.4253731343
1,1145,198,482,64,77,263,1,1,0.4209606987,0.3232323232,1.328282828,0.0672489083
11,538,763,78,104,355,298,1,1,0.1449814126,0.1363040629,0.3905635649,0.6598513011
67,812,684,392,3,349,45,1,1,0.4827586207,0.004385964912,0.06578947368,0.4298029557
23,536,817,282,448,111,146,1,1,0.526119403,0.5483476132,0.1787025704,0.2070895522
58,648,805,182,188,288,166,1,1,0.2808641975,0.2335403727,0.2062111801,0.4444444444
27,682,761,453,486,197,46,1,1,0.6642228739,0.6386333771,0.06044678055,0.288856305
20,774,722,389,406,45,140,1,1,0.5025839793,0.5623268698,0.1939058172,0.05813953488
66,652,982,227,301,360,264,1,1,0.3481595092,0.3065173116,0.2688391039,0.5521472393
67,709,727,391,392,153,115,1,1,0.5514809591,0.5392022008,0.1581843191,0.215796897
6,797,673,443,121,370,125,1,1,0.5558343789,0.1797919762,0.1857355126,0.4642409034
76,566,603,400,142,140,95,1,1,0.7067137809,0.2354892206,0.1575456053,0.2473498233
57,1000,935,342,485,323,374,1,1,0.342,0.5187165775,0.4,0.323
9,812,753,221,299,399,233,1,1,0.2721674877,0.3970783533,0.3094289509,0.4913793103
48,273,814,47,364,289,184,1,1,0.1721611722,0.4471744472,0.226044226,1.058608059
46,439,734,77,7,338,138,1,1,0.1753986333,0.009536784741,0.1880108992,0.7699316629
45,1116,647,493,199,374,289,1,1,0.4417562724,0.3075734158,0.4466769706,0.335125448
76,929,912,296,251,378,330,1,1,0.3186221744,0.2752192982,0.3618421053,0.4068891281
5,886,1020,370,338,391,147,1,1,0.4176072235,0.331372549,0.1441176471,0.4413092551
46,730,583,311,354,111,91,1,1,0.4260273973,0.6072041166,0.1560891938,0.1520547945
53,777,571,139,71,363,274,1,1,0.1788931789,0.1243432574,0.4798598949,0.4671814672
71,759,1064,429,462,217,121,1,1,0.5652173913,0.4342105263,0.1137218045,0.2859025033
45,740,1122,339,434,336,238,1,1,0.4581081081,0.3868092692,0.2121212121,0.4540540541
52,589,396,52,92,122,169,1,1,0.0882852292,0.2323232323,0.4267676768,0.2071307301
9,891,753,381,183,332,156,1,1,0.4276094276,0.2430278884,0.2071713147,0.3726150393
69,726,239,486,67,96,196,1,1,0.6694214876,0.280334728,0.820083682,0.132231405
4,490,703,270,311,273,82,1,1,0.5510204082,0.4423897582,0.1166429587,0.5571428571
36,791,896,419,129,389,268,1,1,0.5297092288,0.1439732143,0.2991071429,0.4917825537
76,1025,433,341,134,105,356,1,1,0.3326829268,0.3094688222,0.8221709007,0.1024390244
37,498,301,12,48,174,372,1,1,0.02409638554,0.1594684385,1.235880399,0.3493975904
57,581,751,203,452,113,106,1,1,0.3493975904,0.6018641811,0.1411451398,0.1944922547
11,916,791,451,408,201,296,1,1,0.4923580786,0.5158027813,0.3742098609,0.2194323144
69,686,735,269,330,184,165,1,1,0.3921282799,0.4489795918,0.2244897959,0.2682215743
53,593,809,52,255,388,179,1,1,0.08768971332,0.3152039555,0.2212608158,0.6543001686
18,192,634,8,181,330,93,1,1,0.04166666667,0.285488959,0.1466876972,1.71875
48,562,884,272,346,163,141,1,1,0.4839857651,0.3914027149,0.1595022624,0.2900355872
57,417,524,190,219,81,102,1,1,0.4556354916,0.4179389313,0.1946564885,0.1942446043
50,724,840,99,456,306,351,1,1,0.1367403315,0.5428571429,0.4178571429,0.4226519337
36,599,625,198,372,100,204,1,1,0.3305509182,0.5952,0.3264,0.1669449082
28,773,779,271,295,266,200,1,1,0.3505821475,0.378690629,0.2567394095,0.3441138422
7,260,1087,5,495,211,202,1,1,0.01923076923,0.4553817847,0.1858325667,0.8115384615
23,696,737,489,371,160,70,1,1,0.7025862069,0.5033921303,0.09497964722,0.2298850575
56,807,602,244,456,77,177,1,1,0.302354399,0.7574750831,0.2940199336,0.09541511772
37,598,309,325,80,59,196,1,1,0.5434782609,0.2588996764,0.6343042071,0.09866220736
62,760,904,193,323,325,302,1,1,0.2539473684,0.357300885,0.3340707965,0.4276315789
21,495,566,94,150,257,170,1,1,0.1898989899,0.2650176678,0.3003533569,0.5191919192
19,742,762,417,208,377,194,1,1,0.5619946092,0.2729658793,0.2545931759,0.5080862534
64,494,979,1,263,368,335,1,1,0.002024291498,0.2686414709,0.342185904,0.7449392713
14,455,502,110,13,326,123,1,1,0.2417582418,0.02589641434,0.2450199203,0.7164835165
70,710,359,80,32,64,328,1,1,0.1126760563,0.08913649025,0.9136490251,0.09014084507
11,987,594,303,199,211,392,1,1,0.3069908815,0.335016835,0.6599326599,0.2137791287
73,508,591,79,3,323,237,1,1,0.155511811,0.005076142132,0.4010152284,0.6358267717
25,917,639,418,99,202,186,1,1,0.4558342421,0.1549295775,0.2910798122,0.2202835333
60,364,713,38,222,257,270,1,1,0.1043956044,0.3113604488,0.3786816269,0.706043956
11,584,398,163,191,68,368,1,1,0.279109589,0.4798994975,0.9246231156,0.1164383562
19,671,664,202,264,127,351,1,1,0.3010432191,0.3975903614,0.5286144578,0.1892697466
20,776,944,280,187,391,120,1,1,0.3608247423,0.1980932203,0.1271186441,0.5038659794
29,716,656,286,111,188,82,1,1,0.3994413408,0.1692073171,0.125,0.2625698324
75,592,522,208,194,146,202,1,1,0.3513513514,0.3716475096,0.3869731801,0.2466216216
51,840,622,414,108,116,141,1,1,0.4928571429,0.1736334405,0.2266881029,0.1380952381
49,781,620,313,33,188,139,1,1,0.4007682458,0.05322580645,0.2241935484,0.2407170294
70,564,972,191,487,240,111,1,1,0.3386524823,0.5010288066,0.1141975309,0.4255319149
49,531,584,150,348,184,93,1,1,0.2824858757,0.595890411,0.1592465753,0.3465160075
79,624,772,291,481,249,223,1,1,0.4663461538,0.6230569948,0.2888601036,0.3990384615
79,723,550,145,201,53,367,1,1,0.2005532503,0.3654545455,0.6672727273,0.07330567082
15,607,700,361,296,278,140,1,1,0.5947281713,0.4228571429,0.2,0.4579901153
72,243,645,109,242,110,41,1,1,0.4485596708,0.3751937984,0.06356589147,0.4526748971
39,1026,894,419,176,368,218,1,1,0.4083820663,0.1968680089,0.2438478747,0.3586744639
65,569,808,61,307,226,267,1,1,0.1072056239,0.379950495,0.3304455446,0.3971880492
59,956,727,178,315,142,385,1,1,0.1861924686,0.4332874828,0.5295735901,0.1485355649
39,1097,488,493,246,116,394,1,1,0.4494074749,0.5040983607,0.8073770492,0.1057429353
18,831,585,401,97,234,228,1,1,0.4825511432,0.1658119658,0.3897435897,0.2815884477
64,985,777,380,274,318,363,1,1,0.385786802,0.3526383526,0.4671814672,0.3228426396
55,734,682,145,266,163,309,1,1,0.1975476839,0.3900293255,0.4530791789,0.2220708447
19,969,986,459,453,283,312,1,1,0.4736842105,0.4594320487,0.3164300203,0.2920536636
79,626,928,166,500,130,236,1,1,0.2651757188,0.5387931034,0.2543103448,0.2076677316
52,672,509,104,204,129,384,1,1,0.1547619048,0.4007858546,0.7544204322,0.1919642857
9,740,1046,183,498,165,288,1,1,0.2472972973,0.4760994264,0.275334608,0.222972973
13,761,775,440,292,179,184,1,1,0.5781865966,0.3767741935,0.2374193548,0.23521682
33,1066,454,334,128,263,351,1,1,0.3133208255,0.281938326,0.7731277533,0.2467166979
23,1030,746,338,433,137,322,1,1,0.3281553398,0.5804289544,0.4316353887,0.1330097087
68,718,850,52,337,312,286,1,1,0.07242339833,0.3964705882,0.3364705882,0.43454039
